ENTREZID	SYMBOL
25454	Gfra1
25455	Ggh
25456	Glrb
25457	Cmklr2
25458	Gss
25459	Hmgb1
25460	Hmmr
25461	Hrh2
25462	Hspe1
25464	Icam1
25466	Il1rap
25467	Irs1
25468	Kcna2
25469	Kcna4
25470	Kcna5
25471	Kcne1
25472	Kcnj8
25473	Lamb2
25474	Lgals4
25475	Lgals5
25476	Lgals9
25477	Lhcgr
25478	Man2a1
25479	Vps35
25480	Mip
25481	Mmp11
25482	Mras
25483	Msx2
25484	Myo1e
25485	Myo1d
25486	Myo9b
25488	Ndufa5
25489	Nedd4
25490	Nedd8
25491	Nes
25492	Nfia
25493	Nfkbia
25494	Nid1
25495	Nog
25496	Notch1
25497	Nup50
25498	Npm1
25499	Nrdc
25501	Nxph1
25502	Oaz1
25503	Ocm
25504	Oxt
25505	P2rx1
25506	P4hb
25507	Pcsk6
25508	Pam
25509	Pax6
25510	Pcp4
25511	Pemt
25512	Phex
25513	Pik3r1
25514	Lypla1
25515	Plk1
25516	Pnoc
25517	Pou1f1
25518	Ppia
25520	Prkag1
25521	Prkar1b
25522	Prkcz
25523	Prkg2
25524	Psap
25525	Pspn
25526	Ptgds
25527	Ptgis
25528	Sirpa
25529	Ptprs
25530	Rab12
25531	Rab3a
25532	Rab4a
25533	Rabggtb
25534	Prph2
25537	Rock2
25538	Rps5
25539	Sag
25540	Sbp
25541	Scp2
25542	Ccl3
25544	Sele
25545	Selenow
25546	Shox2
25547	St8sia3
25548	Slc34a1
25549	Slc18a2
25550	Slc1a1
25551	Slc2a3
25552	Slc5a1
25553	Slc6a4
25554	Snai2
25555	Sstr4
25556	Il1rl1
25557	Star
25558	Stxbp1
25559	Abcc8
25560	Abcc9
25561	Sycp3
25562	Eloa
25563	Tff3
25565	Tle4
25566	Tmod1
25567	Tnr
25569	Trh
25570	Trhr
25571	Ttpa
25572	Tnfrsf4
25573	Ube2i
25574	Ubtf
25575	Scgb1a1
25576	Ywhah
25577	Ywhaq
25578	Ywhaz
25579	Map3k12
25581	Psmc2
25582	Agrp
25583	Cryba1
25584	F3
25585	Id3
25586	Alpl
25587	Id2
25589	Kdr
25590	Chrna4
25591	Parp1
25592	Agrn
25593	Hcrtr1
25594	Ppp1cb
25595	Map2
25596	Rpn1
25597	Rasa2
25598	Fabp2
25599	Cd74
25600	Utrn
25601	Oprm1
25603	Marcks
25604	Pcmt1
25605	Hcrtr2
25608	Lep
25609	Tub
25610	Csf3
25611	Otc
25612	Asns
25613	Ptprz1
25614	Ptk2
25615	Sdc2
25616	Rln1
25617	Hspa5
25618	Acadsb
25619	Plau
25620	Crem
25621	Cd81
25622	Ptpn11
25623	Gys2
25624	Vamp1
25625	Tnfrsf1a
25626	Krt8
25627	Cma1
25628	Nkx2-1
25629	Plin1
25630	Pkm
25631	Smad3
25632	Hba-a1
25633	Dnase1
25634	G6pc1
25635	Mc4r
25636	Prkaca
25637	Ptger1
25638	Pde4a
25639	Fkbp1a
25640	Hnf1b
25641	Igfbp6
25642	Cyp3a23-3a1
25643	Gnai3
25644	Bmp6
25645	Adrb3
25646	Otx1
25647	Il7
25648	Slc7a1
25649	Apoa2
25650	Atp1b1
25651	Selp
25652	Ptgfr
25653	Tshb
25654	Col11a1
25655	Gja4
25656	Guca2a
25658	Gckr
25659	Khk
25660	Cd28
25661	Fn1
25662	Igfbp2
25663	Il1r1
25664	Pparg
25665	Scn5a
25666	Dgkg
25667	Bmp3
25668	Cd38
25669	Cpe
25670	Il15
25671	Smad1
25672	Nr3c2
25673	Anxa5
25674	Glra1
25675	Hmgcr
25676	Rasa1
25677	Mak
25678	Ddr1
25679	Itpr3
25680	Clps
25681	Col10a1
25682	Ppard
25683	Col12a1
25684	Mep1a
25685	Igfbp1
25686	Gnai1
25687	Cald1
25688	Clcn1
25689	Htr5a
25690	Ahr
25692	Plat
25693	Slc18a1
25694	Has2
25695	Cebpd
25696	Vldlr
25697	Ctsl
25698	Ass1
25699	Dbh
25700	Ide
25701	Mxi1
25702	Pnlip
25703	Rbp4
25704	Il2ra
25705	Zeb1
25706	Cckbr
25707	Cntf
25708	Ucp3
25709	Hmbs
25710	Cd3d
25711	Gucy2c
25712	Ifng
25713	Itgb7
25714	Myf6
25715	Slc11a2
25716	Syt1
25717	Tgfb3
25718	Igf1r
25719	Scg5
25720	Tcf12
25721	Got2
25722	Scn4a
25723	Hcrt
25724	Itgb4
25725	Prkar1a
25726	Mc5r
25727	Mep1b
25728	Apoe
25729	Ccne1
25730	Ntf4
25731	Syt3
25732	Acp5
25734	Hck
25735	Hnf4a
25736	Kcnb1
25737	Pcna
25738	Plcg1
25739	Pygb
25740	Gnaz
25741	Pfkl
25742	S100b
25743	Kcnj6
25744	Nf2
25745	Myh9
25746	Il2rb
25747	Ppara
25748	Alas2
25749	Clcn5
25750	Maob
25751	Dnm2
25752	Cd6
25753	Chrng
25756	Cpt1b
25757	Cpt1a
26192	CYTB
26193	ND1
26194	ND2
26195	COX1
26196	ATP8
26197	ATP6
26198	COX2
26199	ND3
26200	ND4L
26201	ND4
26202	ND5
26203	ND6
26204	COX3
26295	Ogt
26296	Tfec
26759	Acot7
26760	Akr7a3
26954	Rheb
26955	Afdn
26956	Ak3
26962	Rpl8
26989	Cadps
27064	Ankrd1
27080	Hbp1
27100	Gfer
27137	Eif2ak1
27139	Rps26
27150	Kcnh3
27256	Cntn6
28298	Rpl32
29130	Syn3
29131	Cartpt
29132	Atp1a4
29134	Axin2
29135	Hpn
29138	Bsn
29139	Dcn
29140	Snn
29141	Gal
29142	Vnn1
29143	Grn
29144	Canx
29145	Ctxn1
29146	Jag1
29147	Jag2
29148	Myog
29149	Strn
29150	Matr3
29151	Ucn
29152	Mstn
29153	Capn1
29154	Capn2
29155	Capn3
29156	Capns1
29157	Ccng2
29158	Fbln5
29160	Amelx
29161	Cav3
29162	Cdh7
29163	Cdh9
29165	Gzmk
29167	Dctn1
29168	Ubd
29169	Vtn
29170	Aqp6
29171	Aqp7
29172	Aqp8
29173	Csn2
29174	Ctsj
29175	Ctsk
29177	Hpca
29179	Syn2
29180	Uts2
29181	Cdh10
29182	Cdh22
29183	Areg
29184	Cd36
29185	Cd37
29186	Cd63
29187	Cd69
29188	Csn3
29189	Fdx1
29190	Pdyn
29191	Tac3
29192	Psen1
29194	Chka
29195	Chad
29197	Il18
29199	Hfe
29200	Inhba
29201	Ctf1
29202	Epha6
29203	Foxd3
29204	Neu2
29205	Syngr1
29209	Casq2
29210	Epha3
29211	Sptbn2
29213	Tubb4a
29214	Tubb5
29215	Arg2
29216	Lrp2
29218	Rcn2
29219	Snca
29220	Thbs4
29221	Arg1
29222	Ptma
29223	Ak4
29224	Cbr1
29225	Ces1e
29227	Nfib
29228	Nfic
29229	Spt1
29230	Sqle
29231	Ciao1
29232	Clcn2
29233	Clcn7
29234	Galr2
29235	Galr3
29236	Rpsa
29237	Penk
29238	Drd3
29240	Polb
29241	Adcy8
29242	Car4
29243	F10
29244	Gch1
29245	Klk6
29246	Stmn3
29248	Tnni3
29251	F2
29252	Gzmm
29253	Maoa
29254	Mgll
29256	Oprl1
29257	Rpl9
29258	Rps7
29259	Sell
29260	Tlr4
29261	Tyms
29263	Acvr2a
29264	Clip2
29265	Mcpt1
29266	Mcpt2
29268	Tpsb2
29269	Mcpt8
29270	Spr
29271	Cfl1
29272	Dpp6
29274	Rnf4
29275	Actc1
29276	Csrp1
29277	Cyp2c11
29278	Lasp1
29279	Meox2
29282	Rpl23
29283	Rpl29
29284	Rps14
29285	Rps15
29286	Rps17
29287	Rps19
29288	Rps3a
29290	Adora1
29292	Ftl1
29295	Cyp2b12
29298	Cyp2c7
29300	Gata6
29301	Hal
29302	Itgb3
29304	Rps6
29307	Gpr182
29308	Arl4a
29309	Coq3
29310	Mc3r
29311	Msmb
29313	Clec11a
29316	Adora2b
29317	Csrp2
29318	Ddt
29319	Cblif
29322	Plcb3
29323	Slc6a18
29324	Capza3
29326	Gpx2
29328	Gpx4
29331	Hapln1
29332	Stmn1
29333	Cd46
29335	Oprk1
29336	Sigmar1
29337	Plcg2
29338	Prdx2
29339	Apcs
29340	Prkce
29344	Zfp36l1
29345	Serpinh1
29347	Faahl
29348	Fgf7
29349	Fgf8
29353	Phkg1
29354	Pla2g5
29355	Pkn1
29357	Smad2
29358	Npy1r
29359	Pla2g10
29360	Selenop
29361	Sox10
29362	Tef
29363	Cxcr5
29364	Cd47
29365	Mpdz
29366	Serpine2
29367	Chkb
29368	Fgf17
29369	Fgf18
29372	Rasa3
29373	Bmp2
29374	Cct4
29375	Uncx
29376	Irs2
29380	Phlda1
29381	Acvr1b
29382	Ctbp1
29383	Fah
29384	Macroh2a1
29385	Cxcr2
29386	Mecp2
29387	Pla2g2c
29388	Tnni1
29389	Tnni2
29390	Ptpmt1
29391	Tsx
29392	Bace1
29393	Col1a1
29394	Gcm1
29395	Hmgb2
29397	Ccl11
29398	Stk10
29402	Unc119
29403	Asgr2
29407	Tas1r1
29409	Mag
29410	Neurog1
29411	Ppt1
29412	Adra1a
29413	Adra1d
29414	Akt3
29415	S1pr2
29416	Aadat
29417	Men1
29419	Numb
29421	Urod
29422	Chrne
29423	Gap43
29424	Htt
29425	Psmb5
29427	Aif1
29428	Celf2
29430	Hap1
29431	Pak1
29432	Pak2
29433	Pak3
29434	Rasgrp1
29435	Ssr4
29436	Tfpi
29437	Acta1
29439	Jtb
29440	Slc26a4
29441	Por
29443	Ahcy
29445	Cox4i1
29446	Ghrh
29447	Msra
29448	Rab7a
29452	Epas1
29454	Gdf11
29455	Gdf15
29456	Map1b
29457	Map6
29458	Neurod1
29459	Rbbp9
29460	Tesk1
29461	Vgf
29463	Ptp4a1
29464	Slc6a6
29465	Trpv2
29466	Tle5
29467	Ddit3
29468	Pdia3
29469	Lbp
29470	Mecr
29471	Npy4r
29473	Aoc3
29474	Coro1b
29475	Dio3
29476	Glg1
29477	Mapt
29478	Ndufs6
29479	Odf2
29480	Rgs4
29481	Rgs9
29482	Slc1a2
29483	Slc1a3
29484	Slc3a1
29485	Slc7a3
29486	Smc3
29487	Gstt2
29489	Dync1h1
29491	Itsn1
29492	Notch2
29495	Dlg4
29496	Erbb3
29497	Ptbp1
29498	Pts
29499	Shh
29500	Slc10a2
29501	Slc12a4
29502	Slc20a2
29503	Slc22a2
29504	Slc22a3
29507	Cox7a2
29508	Nfya
29509	Slc22a6
29510	Pctp
29511	Padi2
29512	Padi4
29513	Mapk13
29515	Atn1
29516	Pde3b
29517	Sgk1
29518	Lgals7
29520	Padi3
29521	Scamp1
29524	Limk2
29525	Pitpna
29526	Pla2g1b
29527	Ptgs2
29528	Vamp3
29530	Amhr2
29531	Hpd
29532	Ighmbp2
29533	Pxmp2
29534	Pex2
29535	Pdx1
29538	Ccl20
29539	Aldh2
29540	Hsd17b7
29541	Nthl1
29542	Pebp1
29543	Timp2
29544	Tspyl1
29545	Uchl1
29546	Homer1
29547	Homer2
29548	Homer3
29552	Lcn5
29553	Kcnk3
29554	Pdha1
29555	Vipr2
29556	Myh6
29557	Myh7
29558	Fcgrt
29559	Grik1
29560	Hif1a
29561	Lsamp
29562	Prps1
29563	Crabp2
29564	Dync1i1
29565	Eef2
29566	Ggt5
29567	Hes2
29568	Map2k5
29569	Pcolce
29571	Scn10a
29573	Slc37a4
29575	Tcea2
29576	Ccn5
29577	Hes1
29578	Hnrnpa1
29579	Esyt1
29580	Fdft1
29581	Htr2b
29582	Mgat3
29583	Pecam1
29584	Gjb1
29585	Gjb3
29586	Gjb5
29588	Pou3f2
29589	Pou3f4
29591	Tgfbr1
29592	Bcat1
29593	Ckmt1
29595	Htr2a
29596	Ifrd1
29597	P2ry2
29598	Atp2b1
29599	Atp2b3
29600	Atp2b4
29601	Gja8
29602	Ptgfrn
29603	Bckdk
29606	Pcsk7
29609	Pitx3
29610	Tgfbr3
29611	Dbt
29613	Ntrk3
29614	Psme2
29616	Ptprm
29618	Btg1
29619	Btg2
29622	Ralgds
29623	Ugt2b37
29624	Alox5ap
29625	Crhbp
29627	Gria2
29628	Gria3
29629	Gria4
29630	Psme1
29631	Bet1
29632	Hsd3b2
29633	Ndst1
29634	Ldhc
29635	Timm44
29636	F2rl2
29637	Hmgcs1
29639	Fxyd2
29640	Dpm2
29641	Adam7
29642	Slc38a2
29643	Sv2c
29644	Ptpn5
29645	Ptprj
29646	Adh4
29647	Cask
29648	Nudc
29650	Adam10
29651	Aldh1a7
29653	Gpam
29657	Arntl
29658	Cacng1
29659	P2rx4
29660	Pnck
29662	Gdi2
29663	Ap1b1
29665	P2rx7
29666	Psmb6
29667	Srsf5
29668	Psma1
29669	Psma2
29670	Psma3
29671	Psma4
29672	Psma5
29673	Psma6
29674	Psma7
29675	Psmb2
29676	Psmb3
29677	Psmc3
29678	Sart1
29679	Cst8
29680	Cyp11a1
29681	C1qbp
29682	Kcnq3
